
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
16 Law,Postgraduate (research),Part-time,All,Other,2020/21,0
16 Law,Postgraduate (research),Part-time,All,Total,2020/21,95
16 Law,Postgraduate (research),All,England,Female,2019/20,230
16 Law,Postgraduate (research),All,England,Male,2019/20,200
16 Law,Postgraduate (research),All,England,Other,2019/20,0
16 Law,Postgraduate (research),All,England,Total,2019/20,430
16 Law,Postgraduate (research),All,England,Female,2020/21,175
16 Law,Postgraduate (research),All,England,Male,2020/21,200
16 Law,Postgraduate (research),All,England,Other,2020/21,0
16 Law,Postgraduate (research),All,England,Total,2020/21,370
16 Law,Postgraduate (research),Full-time,England,Female,2019/20,195
16 Law,Postgraduate (research),Full-time,England,Male,2019/20,160
16 Law,Postgraduate (research),Full-time,England,Other,2019/20,0
16 Law,Postgraduate (research),Full-time,England,Total,2019/20,355
16 Law,Postgraduate (research),Full-time,England,Female,2020/21,130
16 Law,Postgraduate (research),Full-time,England,Male,2020/21,160
16 Law,Postgraduate (research),Full-time,England,Other,2020/21,0
16 Law,Postgraduate (research),Full-time,England,Total,2020/21,290
16 Law,Postgraduate (research),Part-time,England,Female,2019/20,40
16 Law,Postgraduate (research),Part-time,England,Male,2019/20,40
16 Law,Postgraduate (research),Part-time,England,Other,2019/20,0
16 Law,Postgraduate (research),Part-time,England,Total,2019/20,80
16 Law,Postgraduate (research),Part-time,England,Female,2020/21,45
16 Law,Postgraduate (research),Part-time,England,Male,2020/21,40
16 Law,Postgraduate (research),Part-time,England,Other,2020/21,0
16 Law,Postgraduate (research),Part-time,England,Total,2020/21,85
16 Law,Postgraduate (research),All,Northern Ireland,Female,2019/20,10
16 Law,Postgraduate (research),All,Northern Ireland,Male,2019/20,5
16 Law,Postgraduate (research),All,Northern Ireland,Other,2019/20,0
16 Law,Postgraduate (research),All,Northern Ireland,Total,2019/20,15
16 Law,Postgraduate (research),All,Northern Ireland,Female,2020/21,5
16 Law,Postgraduate (research),All,Northern Ireland,Male,2020/21,5
16 Law,Postgraduate (research),All,Northern Ireland,Other,2020/21,0
16 Law,Postgraduate (research),All,Northern Ireland,Total,2020/21,10
16 Law,Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,10
16 Law,Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,5
16 Law,Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
16 Law,Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,15
16 Law,Postgraduate (research),Full-time,Northern Ireland,Female,2020/21,5
16 Law,Postgraduate (research),Full-time,Northern Ireland,Male,2020/21,5
16 Law,Postgraduate (research),Full-time,Northern Ireland,Other,2020/21,0
16 Law,Postgraduate (research),Full-time,Northern Ireland,Total,2020/21,5
16 Law,Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,0
16 Law,Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,0
16 Law,Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
16 Law,Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,0
16 Law,Postgraduate (research),Part-time,Northern Ireland,Female,2020/21,0
16 Law,Postgraduate (research),Part-time,Northern Ireland,Male,2020/21,0
16 Law,Postgraduate (research),Part-time,Northern Ireland,Other,2020/21,0
16 Law,Postgraduate (research),Part-time,Northern Ireland,Total,2020/21,5
16 Law,Postgraduate (research),All,Scotland,Female,2019/20,20
16 Law,Postgraduate (research),All,Scotland,Male,2019/20,40
16 Law,Postgraduate (research),All,Scotland,Other,2019/20,0
16 Law,Postgraduate (research),All,Scotland,Total,2019/20,60
16 Law,Postgraduate (research),All,Scotland,Female,2020/21,25
16 Law,Postgraduate (research),All,Scotland,Male,2020/21,35
16 Law,Postgraduate (research),All,Scotland,Other,2020/21,0
16 Law,Postgraduate (research),All,Scotland,Total,2020/21,60
16 Law,Postgraduate (research),Full-time,Scotland,Female,2019/20,20
16 Law,Postgraduate (research),Full-time,Scotland,Male,2019/20,35
16 Law,Postgraduate (research),Full-time,Scotland,Other,2019/20,0
16 Law,Postgraduate (research),Full-time,Scotland,Total,2019/20,55
16 Law,Postgraduate (research),Full-time,Scotland,Female,2020/21,25
16 Law,Postgraduate (research),Full-time,Scotland,Male,2020/21,30
16 Law,Postgraduate (research),Full-time,Scotland,Other,2020/21,0
16 Law,Postgraduate (research),Full-time,Scotland,Total,2020/21,50
16 Law,Postgraduate (research),Part-time,Scotland,Female,2019/20,5
16 Law,Postgraduate (research),Part-time,Scotland,Male,2019/20,5
16 Law,Postgraduate (research),Part-time,Scotland,Other,2019/20,0
16 Law,Postgraduate (research),Part-time,Scotland,Total,2019/20,5
16 Law,Postgraduate (research),Part-time,Scotland,Female,2020/21,5
16 Law,Postgraduate (research),Part-time,Scotland,Male,2020/21,5
16 Law,Postgraduate (research),Part-time,Scotland,Other,2020/21,0
16 Law,Postgraduate (research),Part-time,Scotland,Total,2020/21,10
16 Law,Postgraduate (research),All,Wales,Female,2019/20,10
16 Law,Postgraduate (research),All,Wales,Male,2019/20,5
16 Law,Postgraduate (research),All,Wales,Other,2019/20,0
16 Law,Postgraduate (research),All,Wales,Total,2019/20,15
16 Law,Postgraduate (research),All,Wales,Female,2020/21,10
16 Law,Postgraduate (research),All,Wales,Male,2020/21,5
16 Law,Postgraduate (research),All,Wales,Other,2020/21,0
16 Law,Postgraduate (research),All,Wales,Total,2020/21,15
16 Law,Postgraduate (research),Full-time,Wales,Female,2019/20,10
16 Law,Postgraduate (research),Full-time,Wales,Male,2019/20,0
16 Law,Postgraduate (research),Full-time,Wales,Other,2019/20,0
16 Law,Postgraduate (research),Full-time,Wales,Total,2019/20,10
16 Law,Postgraduate (research),Full-time,Wales,Female,2020/21,10
16 Law,Postgraduate (research),Full-time,Wales,Male,2020/21,5
16 Law,Postgraduate (research),Full-time,Wales,Other,2020/21,0
16 Law,Postgraduate (research),Full-time,Wales,Total,2020/21,15
16 Law,Postgraduate (research),Part-time,Wales,Female,2019/20,0
16 Law,Postgraduate (research),Part-time,Wales,Male,2019/20,0
16 Law,Postgraduate (research),Part-time,Wales,Other,2019/20,0
16 Law,Postgraduate (research),Part-time,Wales,Total,2019/20,5
16 Law,Postgraduate (research),Part-time,Wales,Female,2020/21,
16 Law,Postgraduate (research),Part-time,Wales,Male,2020/21,
16 Law,Postgraduate (research),Part-time,Wales,Other,2020/21,
16 Law,Postgraduate (research),Part-time,Wales,Total,2020/21,
16 Law,Postgraduate (taught),All,All,Female,2019/20,10195
16 Law,Postgraduate (taught),All,All,Male,2019/20,5965
16 Law,Postgraduate (taught),All,All,Other,2019/20,35
16 Law,Postgraduate (taught),All,All,Total,2019/20,16195
16 Law,Postgraduate (taught),All,All,Female,2020/21,14035
16 Law,Postgraduate (taught),All,All,Male,2020/21,8245
16 Law,Postgraduate (taught),All,All,Other,2020/21,40
16 Law,Postgraduate (taught),All,All,Total,2020/21,22320
16 Law,Postgraduate (taught),Full-time,All,Female,2019/20,8120
16 Law,Postgraduate (taught),Full-time,All,Male,2019/20,4670
16 Law,Postgraduate (taught),Full-time,All,Other,2019/20,30
16 Law,Postgraduate (taught),Full-time,All,Total,2019/20,12820
16 Law,Postgraduate (taught),Full-time,All,Female,2020/21,11275
16 Law,Postgraduate (taught),Full-time,All,Male,2020/21,6670
16 Law,Postgraduate (taught),Full-time,All,Other,2020/21,20
16 Law,Postgraduate (taught),Full-time,All,Total,2020/21,17965
16 Law,Postgraduate (taught),Part-time,All,Female,2019/20,2075
16 Law,Postgraduate (taught),Part-time,All,Male,2019/20,1295
16 Law,Postgraduate (taught),Part-time,All,Other,2019/20,5
16 Law,Postgraduate (taught),Part-time,All,Total,2019/20,3375
16 Law,Postgraduate (taught),Part-time,All,Female,2020/21,2760
16 Law,Postgraduate (taught),Part-time,All,Male,2020/21,1580
16 Law,Postgraduate (taught),Part-time,All,Other,2020/21,15
16 Law,Postgraduate (taught),Part-time,All,Total,2020/21,4355
16 Law,Postgraduate (taught),All,England,Female,2019/20,8465
16 Law,Postgraduate (taught),All,England,Male,2019/20,4970
16 Law,Postgraduate (taught),All,England,Other,2019/20,15
16 Law,Postgraduate (taught),All,England,Total,2019/20,13450
16 Law,Postgraduate (taught),All,England,Female,2020/21,11935
16 Law,Postgraduate (taught),All,England,Male,2020/21,6975
16 Law,Postgraduate (taught),All,England,Other,2020/21,30
16 Law,Postgraduate (taught),All,England,Total,2020/21,18940
16 Law,Postgraduate (taught),Full-time,England,Female,2019/20,6575
16 Law,Postgraduate (taught),Full-time,England,Male,2019/20,3850
16 Law,Postgraduate (taught),Full-time,England,Other,2019/20,10
16 Law,Postgraduate (taught),Full-time,England,Total,2019/20,10440
16 Law,Postgraduate (taught),Full-time,England,Female,2020/21,9320
16 Law,Postgraduate (taught),Full-time,England,Male,2020/21,5570
16 Law,Postgraduate (taught),Full-time,England,Other,2020/21,15
16 Law,Postgraduate (taught),Full-time,England,Total,2020/21,14905
16 Law,Postgraduate (taught),Part-time,England,Female,2019/20,1890
16 Law,Postgraduate (taught),Part-time,England,Male,2019/20,1120
16 Law,Postgraduate (taught),Part-time,England,Other,2019/20,5
16 Law,Postgraduate (taught),Part-time,England,Total,2019/20,3015
16 Law,Postgraduate (taught),Part-time,England,Female,2020/21,2615
16 Law,Postgraduate (taught),Part-time,England,Male,2020/21,1405
16 Law,Postgraduate (taught),Part-time,England,Other,2020/21,15
16 Law,Postgraduate (taught),Part-time,England,Total,2020/21,4035
16 Law,Postgraduate (taught),All,Northern Ireland,Female,2019/20,210
16 Law,Postgraduate (taught),All,Northern Ireland,Male,2019/20,95
16 Law,Postgraduate (taught),All,Northern Ireland,Other,2019/20,0
16 Law,Postgraduate (taught),All,Northern Ireland,Total,2019/20,300
16 Law,Postgraduate (taught),All,Northern Ireland,Female,2020/21,230
16 Law,Postgraduate (taught),All,Northern Ireland,Male,2020/21,140
16 Law,Postgraduate (taught),All,Northern Ireland,Other,2020/21,0
16 Law,Postgraduate (taught),All,Northern Ireland,Total,2020/21,370
16 Law,Postgraduate (taught),Full-time,Northern Ireland,Female,2019/20,175
16 Law,Postgraduate (taught),Full-time,Northern Ireland,Male,2019/20,80
16 Law,Postgraduate (taught),Full-time,Northern Ireland,Other,2019/20,0
16 Law,Postgraduate (taught),Full-time,Northern Ireland,Total,2019/20,255
16 Law,Postgraduate (taught),Full-time,Northern Ireland,Female,2020/21,205
16 Law,Postgraduate (taught),Full-time,Northern Ireland,Male,2020/21,120
16 Law,Postgraduate (taught),Full-time,Northern Ireland,Other,2020/21,0
16 Law,Postgraduate (taught),Full-time,Northern Ireland,Total,2020/21,325
16 Law,Postgraduate (taught),Part-time,Northern Ireland,Female,2019/20,35
16 Law,Postgraduate (taught),Part-time,Northern Ireland,Male,2019/20,15
16 Law,Postgraduate (taught),Part-time,Northern Ireland,Other,2019/20,0
16 Law,Postgraduate (taught),Part-time,Northern Ireland,Total,2019/20,50
16 Law,Postgraduate (taught),Part-time,Northern Ireland,Female,2020/21,25
16 Law,Postgraduate (taught),Part-time,Northern Ireland,Male,2020/21,25
16 Law,Postgraduate (taught),Part-time,Northern Ireland,Other,2020/21,0
16 Law,Postgraduate (taught),Part-time,Northern Ireland,Total,2020/21,50
16 Law,Postgraduate (taught),All,Scotland,Female,2019/20,1180
16 Law,Postgraduate (taught),All,Scotland,Male,2019/20,620
16 Law,Postgraduate (taught),All,Scotland,Other,2019/20,20
16 Law,Postgraduate (taught),All,Scotland,Total,2019/20,1820
16 Law,Postgraduate (taught),All,Scotland,Female,2020/21,1475
16 Law,Postgraduate (taught),All,Scotland,Male,2020/21,840
16 Law,Postgraduate (taught),All,Scotland,Other,2020/21,5
16 Law,Postgraduate (taught),All,Scotland,Total,2020/21,2320
16 Law,Postgraduate (taught),Full-time,Scotland,Female,2019/20,1085
16 Law,Postgraduate (taught),Full-time,Scotland,Male,2019/20,525
16 Law,Postgraduate (taught),Full-time,Scotland,Other,2019/20,15
16 Law,Postgraduate (taught),Full-time,Scotland,Total,2019/20,1625
16 Law,Postgraduate (taught),Full-time,Scotland,Female,2020/21,1405
16 Law,Postgraduate (taught),Full-time,Scotland,Male,2020/21,740
16 Law,Postgraduate (taught),Full-time,Scotland,Other,2020/21,5
16 Law,Postgraduate (taught),Full-time,Scotland,Total,2020/21,2150
16 Law,Postgraduate (taught),Part-time,Scotland,Female,2019/20,95
16 Law,Postgraduate (taught),Part-time,Scotland,Male,2019/20,95
16 Law,Postgraduate (taught),Part-time,Scotland,Other,2019/20,0
16 Law,Postgraduate (taught),Part-time,Scotland,Total,2019/20,190
16 Law,Postgraduate (taught),Part-time,Scotland,Female,2020/21,65
16 Law,Postgraduate (taught),Part-time,Scotland,Male,2020/21,100
16 Law,Postgraduate (taught),Part-time,Scotland,Other,2020/21,0
16 Law,Postgraduate (taught),Part-time,Scotland,Total,2020/21,170
16 Law,Postgraduate (taught),All,Wales,Female,2019/20,340
16 Law,Postgraduate (taught),All,Wales,Male,2019/20,280
16 Law,Postgraduate (taught),All,Wales,Other,2019/20,0
16 Law,Postgraduate (taught),All,Wales,Total,2019/20,625
16 Law,Postgraduate (taught),All,Wales,Female,2020/21,395
16 Law,Postgraduate (taught),All,Wales,Male,2020/21,290
16 Law,Postgraduate (taught),All,Wales,Other,2020/21,0
16 Law,Postgraduate (taught),All,Wales,Total,2020/21,685
16 Law,Postgraduate (taught),Full-time,Wales,Female,2019/20,285
16 Law,Postgraduate (taught),Full-time,Wales,Male,2019/20,220
16 Law,Postgraduate (taught),Full-time,Wales,Other,2019/20,0
16 Law,Postgraduate (taught),Full-time,Wales,Total,2019/20,500
16 Law,Postgraduate (taught),Full-time,Wales,Female,2020/21,340
16 Law,Postgraduate (taught),Full-time,Wales,Male,2020/21,240
16 Law,Postgraduate (taught),Full-time,Wales,Other,2020/21,0
16 Law,Postgraduate (taught),Full-time,Wales,Total,2020/21,580
16 Law,Postgraduate (taught),Part-time,Wales,Female,2019/20,55
16 Law,Postgraduate (taught),Part-time,Wales,Male,2019/20,65
16 Law,Postgraduate (taught),Part-time,Wales,Other,2019/20,0
16 Law,Postgraduate (taught),Part-time,Wales,Total,2019/20,120
16 Law,Postgraduate (taught),Part-time,Wales,Female,2020/21,55
16 Law,Postgraduate (taught),Part-time,Wales,Male,2020/21,45
16 Law,Postgraduate (taught),Part-time,Wales,Other,2020/21,0
16 Law,Postgraduate (taught),Part-time,Wales,Total,2020/21,105
16 Law,All postgraduate,All,All,Female,2019/20,10470
16 Law,All postgraduate,All,All,Male,2019/20,6210
16 Law,All postgraduate,All,All,Other,2019/20,35
16 Law,All postgraduate,All,All,Total,2019/20,16720
16 Law,All postgraduate,All,All,Female,2020/21,14245
16 Law,All postgraduate,All,All,Male,2020/21,8490
16 Law,All postgraduate,All,All,Other,2020/21,40
16 Law,All postgraduate,All,All,Total,2020/21,22775
16 Law,All postgraduate,Full-time,All,Female,2019/20,8350
16 Law,All postgraduate,Full-time,All,Male,2019/20,4875
16 Law,All postgraduate,Full-time,All,Other,2019/20,30
16 Law,All postgraduate,Full-time,All,Total,2019/20,13255
16 Law,All postgraduate,Full-time,All,Female,2020/21,11440
16 Law,All postgraduate,Full-time,All,Male,2020/21,6860
16 Law,All postgraduate,Full-time,All,Other,2020/21,20
16 Law,All postgraduate,Full-time,All,Total,2020/21,18325
16 Law,All postgraduate,Part-time,All,Female,2019/20,2120
16 Law,All postgraduate,Part-time,All,Male,2019/20,1340
16 Law,All postgraduate,Part-time,All,Other,2019/20,5
16 Law,All postgraduate,Part-time,All,Total,2019/20,3465
16 Law,All postgraduate,Part-time,All,Female,2020/21,2810
16 Law,All postgraduate,Part-time,All,Male,2020/21,1625
16 Law,All postgraduate,Part-time,All,Other,2020/21,15
16 Law,All postgraduate,Part-time,All,Total,2020/21,4450
16 Law,All postgraduate,All,England,Female,2019/20,8700
16 Law,All postgraduate,All,England,Male,2019/20,5165
16 Law,All postgraduate,All,England,Other,2019/20,15
16 Law,All postgraduate,All,England,Total,2019/20,13885
16 Law,All postgraduate,All,England,Female,2020/21,12110
16 Law,All postgraduate,All,England,Male,2020/21,7170
16 Law,All postgraduate,All,England,Other,2020/21,30
16 Law,All postgraduate,All,England,Total,2020/21,19310
16 Law,All postgraduate,Full-time,England,Female,2019/20,6770
16 Law,All postgraduate,Full-time,England,Male,2019/20,4010
16 Law,All postgraduate,Full-time,England,Other,2019/20,15
16 Law,All postgraduate,Full-time,England,Total,2019/20,10795
16 Law,All postgraduate,Full-time,England,Female,2020/21,9455
16 Law,All postgraduate,Full-time,England,Male,2020/21,5725
16 Law,All postgraduate,Full-time,England,Other,2020/21,15
16 Law,All postgraduate,Full-time,England,Total,2020/21,15195
16 Law,All postgraduate,Part-time,England,Female,2019/20,1930
16 Law,All postgraduate,Part-time,England,Male,2019/20,1155
16 Law,All postgraduate,Part-time,England,Other,2019/20,5
16 Law,All postgraduate,Part-time,England,Total,2019/20,3090
16 Law,All postgraduate,Part-time,England,Female,2020/21,2655
16 Law,All postgraduate,Part-time,England,Male,2020/21,1445
16 Law,All postgraduate,Part-time,England,Other,2020/21,15
16 Law,All postgraduate,Part-time,England,Total,2020/21,4120
16 Law,All postgraduate,All,Northern Ireland,Female,2019/20,220
16 Law,All postgraduate,All,Northern Ireland,Male,2019/20,100
16 Law,All postgraduate,All,Northern Ireland,Other,2019/20,0
16 Law,All postgraduate,All,Northern Ireland,Total,2019/20,320
16 Law,All postgraduate,All,Northern Ireland,Female,2020/21,235
16 Law,All postgraduate,All,Northern Ireland,Male,2020/21,145
16 Law,All postgraduate,All,Northern Ireland,Other,2020/21,0
16 Law,All postgraduate,All,Northern Ireland,Total,2020/21,380
16 Law,All postgraduate,Full-time,Northern Ireland,Female,2019/20,185
16 Law,All postgraduate,Full-time,Northern Ireland,Male,2019/20,85
16 Law,All postgraduate,Full-time,Northern Ireland,Other,2019/20,0
16 Law,All postgraduate,Full-time,Northern Ireland,Total,2019/20,265
16 Law,All postgraduate,Full-time,Northern Ireland,Female,2020/21,210
16 Law,All postgraduate,Full-time,Northern Ireland,Male,2020/21,120
16 Law,All postgraduate,Full-time,Northern Ireland,Other,2020/21,0
16 Law,All postgraduate,Full-time,Northern Ireland,Total,2020/21,330
16 Law,All postgraduate,Part-time,Northern Ireland,Female,2019/20,35
16 Law,All postgraduate,Part-time,Northern Ireland,Male,2019/20,15
16 Law,All postgraduate,Part-time,Northern Ireland,Other,2019/20,0
16 Law,All postgraduate,Part-time,Northern Ireland,Total,2019/20,50
16 Law,All postgraduate,Part-time,Northern Ireland,Female,2020/21,25
16 Law,All postgraduate,Part-time,Northern Ireland,Male,2020/21,25
16 Law,All postgraduate,Part-time,Northern Ireland,Other,2020/21,0
16 Law,All postgraduate,Part-time,Northern Ireland,Total,2020/21,50
16 Law,All postgraduate,All,Scotland,Female,2019/20,1205
16 Law,All postgraduate,All,Scotland,Male,2019/20,660
16 Law,All postgraduate,All,Scotland,Other,2019/20,20
16 Law,All postgraduate,All,Scotland,Total,2019/20,1880
16 Law,All postgraduate,All,Scotland,Female,2020/21,1500
16 Law,All postgraduate,All,Scotland,Male,2020/21,875
16 Law,All postgraduate,All,Scotland,Other,2020/21,5
16 Law,All postgraduate,All,Scotland,Total,2020/21,2380
16 Law,All postgraduate,Full-time,Scotland,Female,2019/20,1105
16 Law,All postgraduate,Full-time,Scotland,Male,2019/20,560
16 Law,All postgraduate,Full-time,Scotland,Other,2019/20,15
16 Law,All postgraduate,Full-time,Scotland,Total,2019/20,1680
16 Law,All postgraduate,Full-time,Scotland,Female,2020/21,1430
16 Law,All postgraduate,Full-time,Scotland,Male,2020/21,770
16 Law,All postgraduate,Full-time,Scotland,Other,2020/21,5
16 Law,All postgraduate,Full-time,Scotland,Total,2020/21,2205
16 Law,All postgraduate,Part-time,Scotland,Female,2019/20,100
16 Law,All postgraduate,Part-time,Scotland,Male,2019/20,100
16 Law,All postgraduate,Part-time,Scotland,Other,2019/20,0
16 Law,All postgraduate,Part-time,Scotland,Total,2019/20,200
16 Law,All postgraduate,Part-time,Scotland,Female,2020/21,70
16 Law,All postgraduate,Part-time,Scotland,Male,2020/21,105
16 Law,All postgraduate,Part-time,Scotland,Other,2020/21,0
16 Law,All postgraduate,Part-time,Scotland,Total,2020/21,175
16 Law,All postgraduate,All,Wales,Female,2019/20,350
16 Law,All postgraduate,All,Wales,Male,2019/20,285
16 Law,All postgraduate,All,Wales,Other,2019/20,0
16 Law,All postgraduate,All,Wales,Total,2019/20,640
16 Law,All postgraduate,All,Wales,Female,2020/21,405
16 Law,All postgraduate,All,Wales,Male,2020/21,295
16 Law,All postgraduate,All,Wales,Other,2020/21,0
16 Law,All postgraduate,All,Wales,Total,2020/21,700
16 Law,All postgraduate,Full-time,Wales,Female,2019/20,295
16 Law,All postgraduate,Full-time,Wales,Male,2019/20,220
16 Law,All postgraduate,Full-time,Wales,Other,2019/20,0
16 Law,All postgraduate,Full-time,Wales,Total,2019/20,515
16 Law,All postgraduate,Full-time,Wales,Female,2020/21,350
16 Law,All postgraduate,Full-time,Wales,Male,2020/21,245
16 Law,All postgraduate,Full-time,Wales,Other,2020/21,0
16 Law,All postgraduate,Full-time,Wales,Total,2020/21,595
16 Law,All postgraduate,Part-time,Wales,Female,2019/20,55
16 Law,All postgraduate,Part-time,Wales,Male,2019/20,65
16 Law,All postgraduate,Part-time,Wales,Other,2019/20,0
16 Law,All postgraduate,Part-time,Wales,Total,2019/20,125
16 Law,All postgraduate,Part-time,Wales,Female,2020/21,55
16 Law,All postgraduate,Part-time,Wales,Male,2020/21,45
16 Law,All postgraduate,Part-time,Wales,Other,2020/21,0
16 Law,All postgraduate,Part-time,Wales,Total,2020/21,105
16 Law,First degree,All,All,Female,2019/20,12870
16 Law,First degree,All,All,Male,2019/20,6675
16 Law,First degree,All,All,Other,2019/20,5
16 Law,First degree,All,All,Total,2019/20,19550
16 Law,First degree,All,All,Female,2020/21,14410
16 Law,First degree,All,All,Male,2020/21,7335
16 Law,First degree,All,All,Other,2020/21,10
16 Law,First degree,All,All,Total,2020/21,21755
16 Law,First degree,Full-time,All,Female,2019/20,12460
16 Law,First degree,Full-time,All,Male,2019/20,6400
16 Law,First degree,Full-time,All,Other,2019/20,5
16 Law,First degree,Full-time,All,Total,2019/20,18865
16 Law,First degree,Full-time,All,Female,2020/21,13370
16 Law,First degree,Full-time,All,Male,2020/21,6660
16 Law,First degree,Full-time,All,Other,2020/21,10
16 Law,First degree,Full-time,All,Total,2020/21,20045
16 Law,First degree,Part-time,All,Female,2019/20,415
16 Law,First degree,Part-time,All,Male,2019/20,270
16 Law,First degree,Part-time,All,Other,2019/20,0
16 Law,First degree,Part-time,All,Total,2019/20,685
16 Law,First degree,Part-time,All,Female,2020/21,1040
16 Law,First degree,Part-time,All,Male,2020/21,675
16 Law,First degree,Part-time,All,Other,2020/21,0
16 Law,First degree,Part-time,All,Total,2020/21,1710
16 Law,First degree,All,England,Female,2019/20,11105
16 Law,First degree,All,England,Male,2019/20,5690
16 Law,First degree,All,England,Other,2019/20,5
16 Law,First degree,All,England,Total,2019/20,16805
16 Law,First degree,All,England,Female,2020/21,12330
16 Law,First degree,All,England,Male,2020/21,6240
16 Law,First degree,All,England,Other,2020/21,10
16 Law,First degree,All,England,Total,2020/21,18575
16 Law,First degree,Full-time,England,Female,2019/20,10740
16 Law,First degree,Full-time,England,Male,2019/20,5450
16 Law,First degree,Full-time,England,Other,2019/20,5
16 Law,First degree,Full-time,England,Total,2019/20,16200
16 Law,First degree,Full-time,England,Female,2020/21,11430
16 Law,First degree,Full-time,England,Male,2020/21,5660
16 Law,First degree,Full-time,England,Other,2020/21,10
16 Law,First degree,Full-time,England,Total,2020/21,17100
16 Law,First degree,Part-time,England,Female,2019/20,365
16 Law,First degree,Part-time,England,Male,2019/20,240
16 Law,First degree,Part-time,England,Other,2019/20,0
16 Law,First degree,Part-time,England,Total,2019/20,605
16 Law,First degree,Part-time,England,Female,2020/21,900
16 Law,First degree,Part-time,England,Male,2020/21,580
16 Law,First degree,Part-time,England,Other,2020/21,0
16 Law,First degree,Part-time,England,Total,2020/21,1480
16 Law,First degree,All,Northern Ireland,Female,2019/20,255
16 Law,First degree,All,Northern Ireland,Male,2019/20,130
16 Law,First degree,All,Northern Ireland,Other,2019/20,0
16 Law,First degree,All,Northern Ireland,Total,2019/20,385
16 Law,First degree,All,Northern Ireland,Female,2020/21,310
16 Law,First degree,All,Northern Ireland,Male,2020/21,165
16 Law,First degree,All,Northern Ireland,Other,2020/21,0
16 Law,First degree,All,Northern Ireland,Total,2020/21,475
16 Law,First degree,Full-time,Northern Ireland,Female,2019/20,240
16 Law,First degree,Full-time,Northern Ireland,Male,2019/20,125
16 Law,First degree,Full-time,Northern Ireland,Other,2019/20,0
16 Law,First degree,Full-time,Northern Ireland,Total,2019/20,365
16 Law,First degree,Full-time,Northern Ireland,Female,2020/21,280
16 Law,First degree,Full-time,Northern Ireland,Male,2020/21,140
16 Law,First degree,Full-time,Northern Ireland,Other,2020/21,0
16 Law,First degree,Full-time,Northern Ireland,Total,2020/21,415
16 Law,First degree,Part-time,Northern Ireland,Female,2019/20,15
16 Law,First degree,Part-time,Northern Ireland,Male,2019/20,5
16 Law,First degree,Part-time,Northern Ireland,Other,2019/20,0
16 Law,First degree,Part-time,Northern Ireland,Total,2019/20,20
16 Law,First degree,Part-time,Northern Ireland,Female,2020/21,30
16 Law,First degree,Part-time,Northern Ireland,Male,2020/21,25
16 Law,First degree,Part-time,Northern Ireland,Other,2020/21,0
16 Law,First degree,Part-time,Northern Ireland,Total,2020/21,55
16 Law,First degree,All,Scotland,Female,2019/20,895
16 Law,First degree,All,Scotland,Male,2019/20,460
16 Law,First degree,All,Scotland,Other,2019/20,0
16 Law,First degree,All,Scotland,Total,2019/20,1355
16 Law,First degree,All,Scotland,Female,2020/21,1075
16 Law,First degree,All,Scotland,Male,2020/21,545
16 Law,First degree,All,Scotland,Other,2020/21,0
16 Law,First degree,All,Scotland,Total,2020/21,1620
16 Law,First degree,Full-time,Scotland,Female,2019/20,865
16 Law,First degree,Full-time,Scotland,Male,2019/20,440
16 Law,First degree,Full-time,Scotland,Other,2019/20,0
16 Law,First degree,Full-time,Scotland,Total,2019/20,1305
16 Law,First degree,Full-time,Scotland,Female,2020/21,1005
16 Law,First degree,Full-time,Scotland,Male,2020/21,505
16 Law,First degree,Full-time,Scotland,Other,2020/21,0
16 Law,First degree,Full-time,Scotland,Total,2020/21,1510
16 Law,First degree,Part-time,Scotland,Female,2019/20,30
16 Law,First degree,Part-time,Scotland,Male,2019/20,20
16 Law,First degree,Part-time,Scotland,Other,2019/20,0
16 Law,First degree,Part-time,Scotland,Total,2019/20,50
16 Law,First degree,Part-time,Scotland,Female,2020/21,70
16 Law,First degree,Part-time,Scotland,Male,2020/21,45
16 Law,First degree,Part-time,Scotland,Other,2020/21,0
16 Law,First degree,Part-time,Scotland,Total,2020/21,115
16 Law,First degree,All,Wales,Female,2019/20,620
16 Law,First degree,All,Wales,Male,2019/20,390
16 Law,First degree,All,Wales,Other,2019/20,0
16 Law,First degree,All,Wales,Total,2019/20,1010
16 Law,First degree,All,Wales,Female,2020/21,695
16 Law,First degree,All,Wales,Male,2020/21,385
16 Law,First degree,All,Wales,Other,2020/21,0
16 Law,First degree,All,Wales,Total,2020/21,1085
16 Law,First degree,Full-time,Wales,Female,2019/20,615
16 Law,First degree,Full-time,Wales,Male,2019/20,385
16 Law,First degree,Full-time,Wales,Other,2019/20,0
16 Law,First degree,Full-time,Wales,Total,2019/20,1000
16 Law,First degree,Full-time,Wales,Female,2020/21,660
16 Law,First degree,Full-time,Wales,Male,2020/21,360
16 Law,First degree,Full-time,Wales,Other,2020/21,0
