
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,Postgraduate (research),All,All,Other,2020/21,5
01 Medicine and dentistry,Postgraduate (research),All,All,Total,2020/21,2145
01 Medicine and dentistry,Postgraduate (research),Full-time,All,Female,2019/20,1130
01 Medicine and dentistry,Postgraduate (research),Full-time,All,Male,2019/20,845
01 Medicine and dentistry,Postgraduate (research),Full-time,All,Other,2019/20,5
01 Medicine and dentistry,Postgraduate (research),Full-time,All,Total,2019/20,1980
01 Medicine and dentistry,Postgraduate (research),Full-time,All,Female,2020/21,1015
01 Medicine and dentistry,Postgraduate (research),Full-time,All,Male,2020/21,690
01 Medicine and dentistry,Postgraduate (research),Full-time,All,Other,2020/21,5
01 Medicine and dentistry,Postgraduate (research),Full-time,All,Total,2020/21,1710
01 Medicine and dentistry,Postgraduate (research),Part-time,All,Female,2019/20,250
01 Medicine and dentistry,Postgraduate (research),Part-time,All,Male,2019/20,200
01 Medicine and dentistry,Postgraduate (research),Part-time,All,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Part-time,All,Total,2019/20,445
01 Medicine and dentistry,Postgraduate (research),Part-time,All,Female,2020/21,240
01 Medicine and dentistry,Postgraduate (research),Part-time,All,Male,2020/21,190
01 Medicine and dentistry,Postgraduate (research),Part-time,All,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),Part-time,All,Total,2020/21,435
01 Medicine and dentistry,Postgraduate (research),All,England,Female,2019/20,1150
01 Medicine and dentistry,Postgraduate (research),All,England,Male,2019/20,855
01 Medicine and dentistry,Postgraduate (research),All,England,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),All,England,Total,2019/20,2005
01 Medicine and dentistry,Postgraduate (research),All,England,Female,2020/21,1060
01 Medicine and dentistry,Postgraduate (research),All,England,Male,2020/21,740
01 Medicine and dentistry,Postgraduate (research),All,England,Other,2020/21,5
01 Medicine and dentistry,Postgraduate (research),All,England,Total,2020/21,1810
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Female,2019/20,940
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Male,2019/20,685
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Total,2019/20,1630
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Female,2020/21,860
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Male,2020/21,580
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Other,2020/21,5
01 Medicine and dentistry,Postgraduate (research),Full-time,England,Total,2020/21,1440
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Female,2019/20,210
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Male,2019/20,170
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Total,2019/20,380
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Female,2020/21,200
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Male,2020/21,165
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),Part-time,England,Total,2020/21,365
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Female,2019/20,35
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Male,2019/20,30
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Total,2019/20,60
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Female,2020/21,35
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Male,2020/21,20
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),All,Northern Ireland,Total,2020/21,55
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,30
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,25
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,55
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Female,2020/21,30
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Male,2020/21,15
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),Full-time,Northern Ireland,Total,2020/21,45
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,5
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,5
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,10
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Female,2020/21,5
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Male,2020/21,5
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),Part-time,Northern Ireland,Total,2020/21,10
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Female,2019/20,150
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Male,2019/20,115
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Total,2019/20,265
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Female,2020/21,120
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Male,2020/21,100
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),All,Scotland,Total,2020/21,220
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Female,2019/20,125
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Male,2019/20,95
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Total,2019/20,220
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Female,2020/21,100
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Male,2020/21,80
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),Full-time,Scotland,Total,2020/21,180
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Female,2019/20,25
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Male,2019/20,20
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Total,2019/20,45
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Female,2020/21,20
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Male,2020/21,20
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),Part-time,Scotland,Total,2020/21,40
01 Medicine and dentistry,Postgraduate (research),All,Wales,Female,2019/20,45
01 Medicine and dentistry,Postgraduate (research),All,Wales,Male,2019/20,45
01 Medicine and dentistry,Postgraduate (research),All,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),All,Wales,Total,2019/20,90
01 Medicine and dentistry,Postgraduate (research),All,Wales,Female,2020/21,40
01 Medicine and dentistry,Postgraduate (research),All,Wales,Male,2020/21,25
01 Medicine and dentistry,Postgraduate (research),All,Wales,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),All,Wales,Total,2020/21,65
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Female,2019/20,35
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Male,2019/20,40
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Total,2019/20,75
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Female,2020/21,30
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Male,2020/21,20
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),Full-time,Wales,Total,2020/21,45
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Female,2019/20,10
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Male,2019/20,5
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Total,2019/20,15
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Female,2020/21,15
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Male,2020/21,5
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Other,2020/21,0
01 Medicine and dentistry,Postgraduate (research),Part-time,Wales,Total,2020/21,15
01 Medicine and dentistry,Postgraduate (taught),All,All,Female,2019/20,3855
01 Medicine and dentistry,Postgraduate (taught),All,All,Male,2019/20,2105
01 Medicine and dentistry,Postgraduate (taught),All,All,Other,2019/20,20
01 Medicine and dentistry,Postgraduate (taught),All,All,Total,2019/20,5980
01 Medicine and dentistry,Postgraduate (taught),All,All,Female,2020/21,4165
01 Medicine and dentistry,Postgraduate (taught),All,All,Male,2020/21,2240
01 Medicine and dentistry,Postgraduate (taught),All,All,Other,2020/21,25
01 Medicine and dentistry,Postgraduate (taught),All,All,Total,2020/21,6430
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Female,2019/20,2210
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Male,2019/20,1020
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Other,2019/20,10
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Total,2019/20,3245
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Female,2020/21,2210
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Male,2020/21,950
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Other,2020/21,10
01 Medicine and dentistry,Postgraduate (taught),Full-time,All,Total,2020/21,3170
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Female,2019/20,1645
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Male,2019/20,1080
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Other,2019/20,10
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Total,2019/20,2735
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Female,2020/21,1955
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Male,2020/21,1290
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Other,2020/21,15
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Total,2020/21,3260
01 Medicine and dentistry,Postgraduate (taught),All,England,Female,2019/20,3305
01 Medicine and dentistry,Postgraduate (taught),All,England,Male,2019/20,1795
01 Medicine and dentistry,Postgraduate (taught),All,England,Other,2019/20,20
01 Medicine and dentistry,Postgraduate (taught),All,England,Total,2019/20,5120
01 Medicine and dentistry,Postgraduate (taught),All,England,Female,2020/21,3500
01 Medicine and dentistry,Postgraduate (taught),All,England,Male,2020/21,1855
01 Medicine and dentistry,Postgraduate (taught),All,England,Other,2020/21,20
01 Medicine and dentistry,Postgraduate (taught),All,England,Total,2020/21,5375
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Female,2019/20,1895
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Male,2019/20,850
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Other,2019/20,10
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Total,2019/20,2750
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Female,2020/21,1955
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Male,2020/21,820
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Other,2020/21,10
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Total,2020/21,2790
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Female,2019/20,1415
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Male,2019/20,950
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Other,2019/20,10
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Total,2019/20,2370
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Female,2020/21,1545
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Male,2020/21,1030
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Other,2020/21,10
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Total,2020/21,2585
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Female,2019/20,70
